State,Year,Quarter,Reg_name,Reg_users
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,diu,16665
telangana,2021,3,hyderabad,3839513
telangana,2021,3,rangareddy,3310906
telangana,2021,3,medchal malkajgiri,2790387
telangana,2021,3,sangareddy,880907
telangana,2021,3,warangal urban,707591
telangana,2021,3,nalgonda,598288
telangana,2021,3,khammam,572647
telangana,2021,3,nizamabad,556044
telangana,2021,3,karimnagar,524929
telangana,2021,3,bhadradri kothagudem,409224
telangana,2020,3,hyderabad,2875965
telangana,2020,3,rangareddy,2495699
telangana,2020,3,medchal malkajgiri,2111567
telangana,2020,3,sangareddy,649580
telangana,2020,3,warangal urban,535485
telangana,2020,3,nalgonda,435022
telangana,2020,3,khammam,421101
telangana,2020,3,nizamabad,405678
telangana,2020,3,karimnagar,394328
telangana,2020,3,bhadradri kothagudem,297785
telangana,2023,3,hyderabad,5543537
telangana,2023,3,rangareddy,4809474
telangana,2023,3,medchal malkajgiri,4064256
telangana,2023,3,sangareddy,1310211
telangana,2023,3,warangal urban,1039220
telangana,2023,3,nalgonda,902281
telangana,2023,3,khammam,857112
telangana,2023,3,nizamabad,823846
telangana,2023,3,karimnagar,775594
telangana,2023,3,bhadradri kothagudem,616038
telangana,2018,3,hyderabad,1024241
telangana,2018,3,rangareddy,963186
telangana,2018,3,medchal malkajgiri,828425
telangana,2018,3,sangareddy,220802
telangana,2018,3,warangal urban,199919
telangana,2018,3,karimnagar,148562
telangana,2018,3,khammam,135353
telangana,2018,3,nalgonda,134723
telangana,2018,3,nizamabad,120650
telangana,2018,3,peddapalle,102365
telangana,2019,3,hyderabad,2071673
telangana,2019,3,rangareddy,1826019
telangana,2019,3,medchal malkajgiri,1572320
telangana,2019,3,sangareddy,441944
telangana,2019,3,warangal urban,381730
telangana,2019,3,karimnagar,274735
telangana,2019,3,nalgonda,274568
telangana,2019,3,khammam,270101
telangana,2019,3,nizamabad,248977
telangana,2019,3,siddipet,196397
telangana,2022,3,hyderabad,4739891
telangana,2022,3,rangareddy,4105107
telangana,2022,3,medchal malkajgiri,3463208
telangana,2022,3,sangareddy,1106571
telangana,2022,3,warangal urban,881363
telangana,2022,3,nalgonda,758377
telangana,2022,3,khammam,721877
telangana,2022,3,nizamabad,697031
telangana,2022,3,karimnagar,656534
telangana,2022,3,bhadradri kothagudem,517431
andaman-&-nicobar-islands,2021,3,south andaman,55873
andaman-&-nicobar-islands,2021,3,north and middle andaman,9263
andaman-&-nicobar-islands,2021,3,nicobars,1846
andaman-&-nicobar-islands,2020,3,south andaman,34833
andaman-&-nicobar-islands,2020,3,north and middle andaman,5355
andaman-&-nicobar-islands,2020,3,nicobars,1147
andaman-&-nicobar-islands,2023,3,south andaman,83305
andaman-&-nicobar-islands,2023,3,north and middle andaman,14216
andaman-&-nicobar-islands,2023,3,nicobars,2734
andaman-&-nicobar-islands,2018,3,south andaman,10474
andaman-&-nicobar-islands,2018,3,north and middle andaman,1208
andaman-&-nicobar-islands,2018,3,nicobars,467
andaman-&-nicobar-islands,2019,3,south andaman,20518
andaman-&-nicobar-islands,2019,3,north and middle andaman,2662
andaman-&-nicobar-islands,2019,3,nicobars,751
andaman-&-nicobar-islands,2022,3,south andaman,70445
andaman-&-nicobar-islands,2022,3,north and middle andaman,11897
andaman-&-nicobar-islands,2022,3,nicobars,2300
jharkhand,2021,3,ranchi,982147
jharkhand,2021,3,dhanbad,759888
jharkhand,2021,3,east singhbhum,642805
jharkhand,2021,3,bokaro,551517
jharkhand,2021,3,hazaribagh,424328
jharkhand,2021,3,giridih,337529
jharkhand,2021,3,deoghar,327586
jharkhand,2021,3,palamu,289617
jharkhand,2021,3,ramgarh,250016
jharkhand,2021,3,saraikela kharsawan,205625
jharkhand,2020,3,ranchi,722352
jharkhand,2020,3,dhanbad,564484
jharkhand,2020,3,east singhbhum,476881
jharkhand,2020,3,bokaro,412560
jharkhand,2020,3,hazaribagh,306623
jharkhand,2020,3,giridih,242810
jharkhand,2020,3,deoghar,238221
jharkhand,2020,3,palamu,204809
jharkhand,2020,3,ramgarh,182149
jharkhand,2020,3,saraikela kharsawan,150480
jharkhand,2023,3,ranchi,1472886
jharkhand,2023,3,dhanbad,1145055
jharkhand,2023,3,east singhbhum,958456
jharkhand,2023,3,bokaro,830731
jharkhand,2023,3,hazaribagh,649586
jharkhand,2023,3,giridih,520993
jharkhand,2023,3,deoghar,504651
jharkhand,2023,3,palamu,450874
jharkhand,2023,3,ramgarh,380913
jharkhand,2023,3,saraikela kharsawan,310059
jharkhand,2018,3,ranchi,265341
jharkhand,2018,3,dhanbad,219103
jharkhand,2018,3,east singhbhum,176668
jharkhand,2018,3,bokaro,167183
jharkhand,2018,3,hazaribagh,99502
jharkhand,2018,3,giridih,80440
jharkhand,2018,3,deoghar,63814
jharkhand,2018,3,ramgarh,63704
jharkhand,2018,3,palamu,59382
jharkhand,2018,3,saraikela kharsawan,54706
jharkhand,2019,3,ranchi,495155
jharkhand,2019,3,dhanbad,388528
jharkhand,2019,3,east singhbhum,329319
jharkhand,2019,3,bokaro,290252
jharkhand,2019,3,hazaribagh,196452
jharkhand,2019,3,giridih,155689
jharkhand,2019,3,deoghar,132603
jharkhand,2019,3,palamu,123609
jharkhand,2019,3,ramgarh,119804
jharkhand,2019,3,saraikela kharsawan,101247
jharkhand,2022,3,ranchi,1240013
jharkhand,2022,3,dhanbad,961257
jharkhand,2022,3,east singhbhum,808077
jharkhand,2022,3,bokaro,697249
jharkhand,2022,3,hazaribagh,542145
jharkhand,2022,3,giridih,434250
jharkhand,2022,3,deoghar,420404
jharkhand,2022,3,palamu,374369
jharkhand,2022,3,ramgarh,318524
jharkhand,2022,3,saraikela kharsawan,260605
arunachal-pradesh,2021,3,papum pare,97854
arunachal-pradesh,2021,3,west kameng,24489
arunachal-pradesh,2021,3,changlang,23328
arunachal-pradesh,2021,3,east siang,22538
arunachal-pradesh,2021,3,lohit,16680
arunachal-pradesh,2021,3,tawang,13650
arunachal-pradesh,2021,3,west siang,12616
arunachal-pradesh,2021,3,namsai,12140
arunachal-pradesh,2021,3,lower dibang valley,9920
arunachal-pradesh,2021,3,lower subansiri,9451
arunachal-pradesh,2020,3,papum pare,69419
arunachal-pradesh,2020,3,west kameng,17636
arunachal-pradesh,2020,3,changlang,16385
arunachal-pradesh,2020,3,east siang,15921
arunachal-pradesh,2020,3,lohit,11755
arunachal-pradesh,2020,3,tawang,9944
arunachal-pradesh,2020,3,west siang,8623
arunachal-pradesh,2020,3,namsai,8553
arunachal-pradesh,2020,3,lower dibang valley,6799
arunachal-pradesh,2020,3,lower subansiri,6456
arunachal-pradesh,2023,3,papum pare,147681
arunachal-pradesh,2023,3,west kameng,36577
arunachal-pradesh,2023,3,changlang,35843
arunachal-pradesh,2023,3,east siang,34293
arunachal-pradesh,2023,3,lohit,25647
arunachal-pradesh,2023,3,tawang,20501
arunachal-pradesh,2023,3,west siang,19174
arunachal-pradesh,2023,3,namsai,18704
arunachal-pradesh,2023,3,lower dibang valley,15073
arunachal-pradesh,2023,3,lower subansiri,14442
arunachal-pradesh,2018,3,papum pare,16009
arunachal-pradesh,2018,3,west kameng,4765
arunachal-pradesh,2018,3,east siang,3590
arunachal-pradesh,2018,3,tawang,3112
arunachal-pradesh,2018,3,changlang,2889
arunachal-pradesh,2018,3,lohit,2612
arunachal-pradesh,2018,3,namsai,1862
arunachal-pradesh,2018,3,west siang,1652
arunachal-pradesh,2018,3,lower dibang valley,1286
arunachal-pradesh,2018,3,tirap,1226
arunachal-pradesh,2019,3,papum pare,38845
arunachal-pradesh,2019,3,west kameng,11186
arunachal-pradesh,2019,3,east siang,8571
arunachal-pradesh,2019,3,changlang,8145
arunachal-pradesh,2019,3,tawang,6553
arunachal-pradesh,2019,3,lohit,6421
arunachal-pradesh,2019,3,namsai,4563
arunachal-pradesh,2019,3,west siang,4101
arunachal-pradesh,2019,3,lower dibang valley,3398
arunachal-pradesh,2019,3,tirap,3099
arunachal-pradesh,2022,3,papum pare,124095
arunachal-pradesh,2022,3,west kameng,30964
arunachal-pradesh,2022,3,changlang,29965
arunachal-pradesh,2022,3,east siang,28698
arunachal-pradesh,2022,3,lohit,21385
arunachal-pradesh,2022,3,tawang,17281
arunachal-pradesh,2022,3,west siang,16063
arunachal-pradesh,2022,3,namsai,15642
arunachal-pradesh,2022,3,lower dibang valley,12668
arunachal-pradesh,2022,3,lower subansiri,12085
karnataka,2021,3,bengaluru urban,11321012
karnataka,2021,3,belagavi,1304051
karnataka,2021,3,mysuru,1250860
karnataka,2021,3,dakshina kannada,855634
karnataka,2021,3,tumakuru,850678
karnataka,2021,3,dharwad,818797
karnataka,2021,3,ballari,814170
karnataka,2021,3,bengaluru rural,735551
karnataka,2021,3,kalaburagi,694567
karnataka,2021,3,vijayapura,627795
karnataka,2020,3,bengaluru urban,8611452
karnataka,2020,3,belagavi,951629
karnataka,2020,3,mysuru,923296
karnataka,2020,3,tumakuru,618091
karnataka,2020,3,dakshina kannada,617552
karnataka,2020,3,dharwad,608659
karnataka,2020,3,ballari,595935
karnataka,2020,3,bengaluru rural,543893
karnataka,2020,3,kalaburagi,507894
karnataka,2020,3,vijayapura,458119
karnataka,2023,3,bengaluru urban,16382332
karnataka,2023,3,belagavi,1932291
karnataka,2023,3,mysuru,1828718
karnataka,2023,3,tumakuru,1266959
karnataka,2023,3,dakshina kannada,1248816
karnataka,2023,3,ballari,1225188
karnataka,2023,3,dharwad,1209368
karnataka,2023,3,bengaluru rural,1093777
karnataka,2023,3,kalaburagi,1035286
karnataka,2023,3,vijayapura,940972
karnataka,2018,3,bengaluru urban,3167597
karnataka,2018,3,mysuru,262075
karnataka,2018,3,belagavi,252307
karnataka,2018,3,dharwad,181324
karnataka,2018,3,ballari,177311
karnataka,2018,3,bengaluru rural,156268
karnataka,2018,3,tumakuru,154217
karnataka,2018,3,dakshina kannada,153231
karnataka,2018,3,kalaburagi,145495
karnataka,2018,3,vijayapura,124561
karnataka,2019,3,bengaluru urban,6383771
karnataka,2019,3,mysuru,601068
karnataka,2019,3,belagavi,568340
karnataka,2019,3,dharwad,397243
karnataka,2019,3,ballari,376264
karnataka,2019,3,tumakuru,366543
karnataka,2019,3,dakshina kannada,363240
karnataka,2019,3,bengaluru rural,361924
karnataka,2019,3,kalaburagi,306756
karnataka,2019,3,kolar,277877
karnataka,2022,3,bengaluru urban,13997602
karnataka,2022,3,belagavi,1635855
karnataka,2022,3,mysuru,1556384
karnataka,2022,3,tumakuru,1070793
karnataka,2022,3,dakshina kannada,1065741
karnataka,2022,3,ballari,1030428
karnataka,2022,3,dharwad,1024771
karnataka,2022,3,bengaluru rural,924127
karnataka,2022,3,kalaburagi,874282
karnataka,2022,3,vijayapura,792750
uttar-pradesh,2021,3,gautam buddha nagar,2496114
uttar-pradesh,2021,3,lucknow,2076033
uttar-pradesh,2021,3,ghaziabad,2031752
uttar-pradesh,2021,3,prayagraj,1320432
uttar-pradesh,2021,3,kanpur nagar,1263050
uttar-pradesh,2021,3,varanasi,1239725
uttar-pradesh,2021,3,agra,1124720
uttar-pradesh,2021,3,gorakhpur,900171
uttar-pradesh,2021,3,meerut,853246
uttar-pradesh,2021,3,bareilly,766809
uttar-pradesh,2020,3,gautam buddha nagar,1885370
uttar-pradesh,2020,3,lucknow,1551932
uttar-pradesh,2020,3,ghaziabad,1518450
uttar-pradesh,2020,3,prayagraj,974228
uttar-pradesh,2020,3,kanpur nagar,941379
uttar-pradesh,2020,3,varanasi,927313
uttar-pradesh,2020,3,agra,822893
uttar-pradesh,2020,3,gorakhpur,661272
uttar-pradesh,2020,3,meerut,624570
uttar-pradesh,2020,3,bareilly,558821
uttar-pradesh,2023,3,gautam buddha nagar,3694806
uttar-pradesh,2023,3,lucknow,3079592
uttar-pradesh,2023,3,ghaziabad,3015494
uttar-pradesh,2023,3,prayagraj,2002831
uttar-pradesh,2023,3,kanpur nagar,1892032
uttar-pradesh,2023,3,varanasi,1857307
uttar-pradesh,2023,3,agra,1696452
uttar-pradesh,2023,3,gorakhpur,1370080
uttar-pradesh,2023,3,meerut,1272850
uttar-pradesh,2023,3,bareilly,1164885
uttar-pradesh,2018,3,gautam buddha nagar,727480
uttar-pradesh,2018,3,lucknow,620328
uttar-pradesh,2018,3,ghaziabad,538532
uttar-pradesh,2018,3,prayagraj,363743
uttar-pradesh,2018,3,varanasi,352604
uttar-pradesh,2018,3,kanpur nagar,349250
uttar-pradesh,2018,3,agra,257453
uttar-pradesh,2018,3,gorakhpur,224409
uttar-pradesh,2018,3,meerut,205977
uttar-pradesh,2018,3,bareilly,187467
uttar-pradesh,2019,3,gautam buddha nagar,1415905
uttar-pradesh,2019,3,lucknow,1124832
uttar-pradesh,2019,3,ghaziabad,1088568
uttar-pradesh,2019,3,prayagraj,667277
uttar-pradesh,2019,3,kanpur nagar,655175
uttar-pradesh,2019,3,varanasi,639586
uttar-pradesh,2019,3,agra,530228
uttar-pradesh,2019,3,gorakhpur,434172
uttar-pradesh,2019,3,meerut,408972
uttar-pradesh,2019,3,bareilly,356146
uttar-pradesh,2022,3,gautam buddha nagar,3130224
uttar-pradesh,2022,3,lucknow,2604663
uttar-pradesh,2022,3,ghaziabad,2549377
uttar-pradesh,2022,3,prayagraj,1678668
uttar-pradesh,2022,3,kanpur nagar,1592126
uttar-pradesh,2022,3,varanasi,1563730
uttar-pradesh,2022,3,agra,1426154
uttar-pradesh,2022,3,gorakhpur,1148103
uttar-pradesh,2022,3,meerut,1075255
uttar-pradesh,2022,3,bareilly,977218
jammu-&-kashmir,2021,3,jammu,354280
jammu-&-kashmir,2021,3,srinagar,122752
jammu-&-kashmir,2021,3,baramulla,104763
jammu-&-kashmir,2021,3,budgam,78298
jammu-&-kashmir,2021,3,kathua,73280
jammu-&-kashmir,2021,3,anantnag,70633
jammu-&-kashmir,2021,3,kupwara,69102
jammu-&-kashmir,2021,3,udhampur,68452
jammu-&-kashmir,2021,3,samba,61677
jammu-&-kashmir,2021,3,rajouri,55013
jammu-&-kashmir,2020,3,jammu,248814
jammu-&-kashmir,2020,3,srinagar,87182
jammu-&-kashmir,2020,3,baramulla,73162
jammu-&-kashmir,2020,3,budgam,55153
jammu-&-kashmir,2020,3,kathua,50914
jammu-&-kashmir,2020,3,anantnag,49443
jammu-&-kashmir,2020,3,udhampur,47399
jammu-&-kashmir,2020,3,kupwara,47288
jammu-&-kashmir,2020,3,samba,42915
jammu-&-kashmir,2020,3,pulwama,38434
jammu-&-kashmir,2023,3,jammu,524726
jammu-&-kashmir,2023,3,srinagar,180872
jammu-&-kashmir,2023,3,baramulla,156673
jammu-&-kashmir,2023,3,budgam,116523
jammu-&-kashmir,2023,3,kathua,110005
jammu-&-kashmir,2023,3,anantnag,105459
jammu-&-kashmir,2023,3,kupwara,104220
jammu-&-kashmir,2023,3,udhampur,103054
jammu-&-kashmir,2023,3,samba,92315
jammu-&-kashmir,2023,3,rajouri,83335
jammu-&-kashmir,2018,3,jammu,86877
jammu-&-kashmir,2018,3,srinagar,35583
jammu-&-kashmir,2018,3,baramulla,31069
jammu-&-kashmir,2018,3,budgam,22301
jammu-&-kashmir,2018,3,anantnag,20234
jammu-&-kashmir,2018,3,udhampur,16058
jammu-&-kashmir,2018,3,kathua,15849
jammu-&-kashmir,2018,3,kupwara,15754
jammu-&-kashmir,2018,3,pulwama,15427
jammu-&-kashmir,2018,3,samba,13304
jammu-&-kashmir,2019,3,jammu,169849
jammu-&-kashmir,2019,3,srinagar,64758
jammu-&-kashmir,2019,3,baramulla,54404
jammu-&-kashmir,2019,3,budgam,41004
jammu-&-kashmir,2019,3,anantnag,36371
jammu-&-kashmir,2019,3,kupwara,32431
jammu-&-kashmir,2019,3,kathua,32213
jammu-&-kashmir,2019,3,udhampur,31297
jammu-&-kashmir,2019,3,pulwama,27963
jammu-&-kashmir,2019,3,samba,27579
jammu-&-kashmir,2022,3,jammu,445345
jammu-&-kashmir,2022,3,srinagar,153729
jammu-&-kashmir,2022,3,baramulla,132526
jammu-&-kashmir,2022,3,budgam,98698
jammu-&-kashmir,2022,3,kathua,93084
jammu-&-kashmir,2022,3,anantnag,89184
jammu-&-kashmir,2022,3,kupwara,87867
jammu-&-kashmir,2022,3,udhampur,86915
jammu-&-kashmir,2022,3,samba,78092
jammu-&-kashmir,2022,3,rajouri,70231
ladakh,2021,3,leh ladakh,62633
ladakh,2021,3,kargil,18577
ladakh,2020,3,leh ladakh,45587
ladakh,2020,3,kargil,12814
ladakh,2023,3,leh ladakh,92688
ladakh,2023,3,kargil,27747
ladakh,2018,3,leh ladakh,14617
ladakh,2018,3,kargil,3132
ladakh,2019,3,leh ladakh,31455
ladakh,2019,3,kargil,7718
ladakh,2022,3,leh ladakh,78769
ladakh,2022,3,kargil,23530
lakshadweep,2021,3,lakshadweep,5287
lakshadweep,2020,3,lakshadweep,3644
lakshadweep,2023,3,lakshadweep,7912
lakshadweep,2018,3,lakshadweep,918
lakshadweep,2019,3,lakshadweep,2117
lakshadweep,2022,3,lakshadweep,6645
himachal-pradesh,2021,3,solan,360324
himachal-pradesh,2021,3,kangra,355274
himachal-pradesh,2021,3,shimla,235163
himachal-pradesh,2021,3,mandi,216188
himachal-pradesh,2021,3,sirmaur,134870
himachal-pradesh,2021,3,hamirpur,126753
himachal-pradesh,2021,3,kullu,124078
himachal-pradesh,2021,3,una,116973
himachal-pradesh,2021,3,bilaspur,91291
himachal-pradesh,2021,3,chamba,90344
himachal-pradesh,2020,3,solan,265701
himachal-pradesh,2020,3,kangra,261293
himachal-pradesh,2020,3,shimla,172418
himachal-pradesh,2020,3,mandi,158237
himachal-pradesh,2020,3,sirmaur,97464
himachal-pradesh,2020,3,hamirpur,93465
himachal-pradesh,2020,3,kullu,90699
himachal-pradesh,2020,3,una,86177
himachal-pradesh,2020,3,bilaspur,67233
himachal-pradesh,2020,3,chamba,65214
himachal-pradesh,2023,3,solan,544140
himachal-pradesh,2023,3,kangra,530786
himachal-pradesh,2023,3,shimla,348966
himachal-pradesh,2023,3,mandi,322502
himachal-pradesh,2023,3,sirmaur,203991
himachal-pradesh,2023,3,hamirpur,189913
himachal-pradesh,2023,3,kullu,184280
himachal-pradesh,2023,3,una,175125
himachal-pradesh,2023,3,bilaspur,136648
himachal-pradesh,2023,3,chamba,135482
himachal-pradesh,2018,3,solan,88724
himachal-pradesh,2018,3,kangra,71494
himachal-pradesh,2018,3,shimla,49820
himachal-pradesh,2018,3,mandi,45876
himachal-pradesh,2018,3,sirmaur,28959
himachal-pradesh,2018,3,hamirpur,27915
himachal-pradesh,2018,3,kullu,26840
himachal-pradesh,2018,3,una,24952
himachal-pradesh,2018,3,bilaspur,21030
himachal-pradesh,2018,3,chamba,16157
himachal-pradesh,2019,3,solan,178922
himachal-pradesh,2019,3,kangra,160161
himachal-pradesh,2019,3,shimla,110575
himachal-pradesh,2019,3,mandi,98589
himachal-pradesh,2019,3,sirmaur,62048
himachal-pradesh,2019,3,kullu,59192
himachal-pradesh,2019,3,hamirpur,58950
himachal-pradesh,2019,3,una,54164
himachal-pradesh,2019,3,bilaspur,43115
himachal-pradesh,2019,3,chamba,37974
